"","chromosome","source","type","start","end","score","strand","phase","gene_symbol","gene_ensID","length","entrezid"
"16","1","havana","gene",11869,14409,".","+",".","DDX11L1","ENSG00000223972",2541,"100287102"
"77","1","ensembl_havana","gene",69091,70008,".","+",".","OR4F5","ENSG00000186092",918,"79501"
"823","1","ensembl_havana","gene",923928,944581,".","+",".","SAMD11","ENSG00000187634",20654,"148398"
"1234","1","ensembl_havana","gene",944204,959309,".","-",".","NOC2L","ENSG00000188976",15106,"26155"
"1330","1","ensembl_havana","gene",960587,965715,".","+",".","KLHL17","ENSG00000187961",5129,"339451"
"1414","1","ensembl_havana","gene",966497,975865,".","+",".","PLEKHN1","ENSG00000187583",9369,"84069"
"1536","1","ensembl_havana","gene",975204,982093,".","-",".","PERM1","ENSG00000187642",6890,"84808"
"1575","1","ensembl_havana","gene",998962,1000172,".","-",".","HES4","ENSG00000188290",1211,"57801"
"1625","1","ensembl_havana","gene",1001138,1014541,".","+",".","ISG15","ENSG00000187608",13404,"9636"
"1669","1","ensembl_havana","gene",1020123,1056118,".","+",".","AGRN","ENSG00000188157",35996,"375790"
"1935","1","havana","gene",1059734,1069355,".","+",".","RP11-465B22.3","ENSG00000217801",9622,"100288175"
"1979","1","ensembl_havana","gene",1070966,1074307,".","-",".","RNF223","ENSG00000237330",3342,"401934"
"1989","1","ensembl_havana","gene",1081818,1116361,".","-",".","C1orf159","ENSG00000131591",34544,"54991"
"2360","1","havana","gene",1173056,1179555,".","-",".","TTLL10-AS1","ENSG00000205231",6500,"100506376"
"2365","1","ensembl_havana","gene",1173884,1197935,".","+",".","TTLL10","ENSG00000162571",24052,"254173"
"2502","1","ensembl_havana","gene",1203508,1206691,".","-",".","TNFRSF18","ENSG00000186891",3184,"8784"
"2557","1","ensembl_havana","gene",1211326,1214138,".","-",".","TNFRSF4","ENSG00000186827",2813,"7293"
"2591","1","ensembl_havana","gene",1216908,1232031,".","-",".","SDF4","ENSG00000078808",15124,"51150"
"2684","1","ensembl_havana","gene",1232265,1235041,".","+",".","B3GALT6","ENSG00000176022",2777,"126792"
"2715","1","ensembl_havana","gene",1242446,1246722,".","-",".","FAM132A","ENSG00000184163",4277,"388581"
"2768","1","ensembl_havana","gene",1253909,1273885,".","-",".","UBE2J2","ENSG00000160087",19977,"118424"
"3050","1","ensembl_havana","gene",1280436,1292029,".","+",".","SCNN1D","ENSG00000162572",11594,"6339"
"3298","1","ensembl_havana","gene",1292376,1309609,".","-",".","ACAP3","ENSG00000131584",17234,"116983"
"3543","1","ensembl_havana","gene",1308567,1311677,".","+",".","PUSL1","ENSG00000169972",3111,"126789"
"3604","1","ensembl_havana","gene",1311585,1324691,".","-",".","CPSF3L","ENSG00000127054",13107,"54973"
"4419","1","ensembl_havana","gene",1324756,1328897,".","+",".","CPTP","ENSG00000224051",4142,"80772"
"4447","1","ensembl_havana","gene",1331314,1335306,".","+",".","TAS1R3","ENSG00000169962",3993,"83756"
"4466","1","ensembl_havana","gene",1335276,1349350,".","-",".","DVL1","ENSG00000107404",14075,"1855"
"4643","1","ensembl_havana","gene",1352689,1361777,".","-",".","MXRA8","ENSG00000162576",9089,"54587"
"4773","1","ensembl_havana","gene",1373730,1375495,".","-",".","AURKAIP1","ENSG00000175756",1766,"54998"
"4839","1","ensembl_havana","gene",1385711,1399328,".","-",".","CCNL2","ENSG00000221978",13618,"81669"
"5125","1","ensembl_havana","gene",1401908,1407313,".","-",".","MRPL20","ENSG00000242485",5406,"55052"
"5183","1","ensembl_havana","gene",1418420,1421769,".","-",".","ANKRD65","ENSG00000235098",3350,"441869"
"5238","1","ensembl_havana","gene",1426128,1427787,".","+",".","TMEM88B","ENSG00000205116",1660,"643965"
"5267","1","ensembl_havana","gene",1434861,1442882,".","+",".","VWA1","ENSG00000179403",8022,"64856"
"5321","1","ensembl_havana","gene",1449689,1470158,".","+",".","ATAD3C","ENSG00000215915",20470,"219293"
"5376","1","ensembl_havana","gene",1471769,1497848,".","+",".","ATAD3B","ENSG00000160072",26080,"83858"
"5467","1","ensembl_havana","gene",1512151,1534687,".","+",".","ATAD3A","ENSG00000197785",22537,"55210"
"5644","1","ensembl_havana","gene",1535174,1540453,".","-",".","TMEM240","ENSG00000205090",5280,"339453"
"5692","1","ensembl_havana","gene",1541673,1574869,".","-",".","SSU72","ENSG00000160075",33197,"29101"
"5750","1","ensembl_havana","gene",1598012,1600096,".","-",".","FNDC10","ENSG00000228594",2085,"643988"
"5784","1","ensembl_havana","gene",1615415,1630610,".","+",".","MIB2","ENSG00000197530",15196,"142678"
"6444","1","ensembl_havana","gene",1632095,1635263,".","+",".","MMP23B","ENSG00000189409",3169,"8510"
"6562","1","ensembl_havana","gene",1635227,1659012,".","-",".","CDK11B","ENSG00000248333",23786,"984"
"6948","1","ensembl_havana","gene",1659529,1692728,".","-",".","SLC35E2B","ENSG00000189339",33200,"728661"
"7033","1","havana","gene",1699942,1701782,".","+",".","MMP23A","ENSG00000215914",1841,"8511"
"7046","1","ensembl_havana","gene",1702730,1724324,".","-",".","CDK11A","ENSG00000008128",21595,"728642"
"7527","1","ensembl_havana","gene",1724838,1745992,".","-",".","SLC35E2","ENSG00000215790",21155,"9906"
"7572","1","ensembl_havana","gene",1751232,1780457,".","-",".","NADK","ENSG00000008130",29226,"65220"
"7805","1","ensembl_havana","gene",1785285,1891117,".","-",".","GNB1","ENSG00000078369",105833,"2782"
"8000","1","ensembl_havana","gene",1914827,1917296,".","+",".","CALML6","ENSG00000169885",2470,"163688"
"8037","1","ensembl_havana","gene",1917590,1919273,".","-",".","TMEM52","ENSG00000178821",1684,"339456"
"8106","1","ensembl_havana","gene",1921951,2003837,".","-",".","CFAP74","ENSG00000142609",81887,"85452"
"8296","1","ensembl_havana","gene",2019324,2030751,".","+",".","GABRD","ENSG00000187730",11428,"2563"
"8338","1","havana","gene",2049203,2050070,".","-",".","RP11-547D24.3","ENSG00000226969",868,"105378591"
"8356","1","ensembl_havana","gene",2050470,2185395,".","+",".","PRKCZ","ENSG00000067606",134926,"5590"
"8770","1","havana","gene",2181794,2184389,".","-",".","RP11-181G12.2","ENSG00000182873",2596,"100506504"
"8778","1","ensembl_havana","gene",2184461,2212720,".","-",".","FAAP20","ENSG00000162585",28260,"199990"
"8986","1","ensembl_havana","gene",2228695,2310119,".","+",".","SKI","ENSG00000157933",81425,"6497"
"9058","1","ensembl_havana","gene",2321253,2391707,".","-",".","MORN1","ENSG00000116151",70455,"79906"
"9200","1","havana","gene",2350414,2352820,".","-",".","RP4-740C4.5","ENSG00000269896",2407,"100129534"
"9215","1","ensembl_havana","gene",2391775,2405444,".","+",".","RER1","ENSG00000157916",13670,"11079"
"9338","1","ensembl_havana","gene",2403964,2413797,".","-",".","PEX10","ENSG00000157911",9834,"5192"
"9439","1","ensembl_havana","gene",2425980,2505530,".","+",".","PLCH2","ENSG00000149527",79551,"9651"
"9700","1","ensembl_havana","gene",2508533,2526628,".","-",".","PANK4","ENSG00000157881",18096,"55229"
"9905","1","ensembl_havana","gene",2528745,2530245,".","-",".","HES5","ENSG00000197921",1501,"388585"
"9976","1","ensembl_havana","gene",2555639,2565382,".","+",".","TNFRSF14","ENSG00000157873",9744,"8764"
"10148","1","ensembl_havana","gene",2586491,2591469,".","+",".","FAM213B","ENSG00000157870",4979,"127281"
"10315","1","ensembl_havana","gene",2590639,2632990,".","-",".","MMEL1","ENSG00000142606",42352,"79258"
"10498","1","ensembl_havana","gene",2635976,2801717,".","-",".","TTC34","ENSG00000215912",165742,"100287898"
"10599","1","ensembl_havana","gene",3021483,3022903,".","+",".","ACTRT2","ENSG00000169717",1421,"140625"
"10607","1","ensembl_havana","gene",3059615,3068437,".","-",".","LINC00982","ENSG00000177133",8823,"440556"
"10667","1","ensembl_havana","gene",3069168,3438621,".","+",".","PRDM16","ENSG00000142611",369454,"63976"
"11026","1","ensembl_havana","gene",3454426,3481113,".","+",".","ARHGEF16","ENSG00000130762",26688,"27237"
"11160","1","ensembl_havana","gene",3489920,3611495,".","-",".","MEGF6","ENSG00000162591",121576,"1953"
"11456","1","ensembl_havana","gene",3625002,3630127,".","+",".","TPRG1L","ENSG00000158109",5126,"127262"
"11481","1","ensembl_havana","gene",3630767,3652761,".","-",".","WRAP73","ENSG00000116213",21995,"49856"
"11651","1","ensembl_havana","gene",3652520,3736201,".","+",".","TP73","ENSG00000078900",83682,"7161"
"11985","1","havana","gene",3735601,3747336,".","-",".","TP73-AS1","ENSG00000227372",11736,"57212"
"12048","1","ensembl_havana","gene",3746460,3771645,".","+",".","CCDC27","ENSG00000162592",25186,"148870"
"12120","1","ensembl_havana","gene",3772788,3775982,".","+",".","SMIM1","ENSG00000235169",3195,"388588"
"12145","1","ensembl_havana","gene",3778558,3796504,".","-",".","LRRC47","ENSG00000130764",17947,"57470"
"12196","1","ensembl_havana","gene",3812081,3857214,".","-",".","CEP104","ENSG00000116198",45134,"9731"
"12353","1","ensembl_havana","gene",3857267,3885429,".","+",".","DFFB","ENSG00000169598",28163,"1677"
"12526","1","ensembl_havana","gene",3889125,3900293,".","-",".","C1orf174","ENSG00000198912",11169,"339448"
"12692","1","ensembl_havana","gene",4654732,4792534,".","+",".","AJAP1","ENSG00000196581",137803,"55966"
